100%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 319/319 [00:04<00:00, 66.28it/s]
Epoch 1/50, Train Loss: 0.0772, Val F1: 0.0179
Epoch 2/50, Train Loss: 0.0502, Val F1: 0.0214
Epoch 3/50, Train Loss: 0.0454, Val F1: 0.0320
Epoch 4/50, Train Loss: 0.0432, Val F1: 0.0415
Epoch 5/50, Train Loss: 0.0420, Val F1: 0.0539
Epoch 6/50, Train Loss: 0.0411, Val F1: 0.0643
Epoch 7/50, Train Loss: 0.0402, Val F1: 0.0627
Epoch 8/50, Train Loss: 0.0395, Val F1: 0.0755
Epoch 9/50, Train Loss: 0.0386, Val F1: 0.0796
Epoch 10/50, Train Loss: 0.0380, Val F1: 0.0712
Epoch 11/50, Train Loss: 0.0376, Val F1: 0.0747
Epoch 12/50, Train Loss: 0.0369, Val F1: 0.0798
Epoch 13/50, Train Loss: 0.0362, Val F1: 0.0819
Epoch 14/50, Train Loss: 0.0360, Val F1: 0.0976
Epoch 15/50, Train Loss: 0.0358, Val F1: 0.0864
Epoch 16/50, Train Loss: 0.0352, Val F1: 0.0989
Epoch 17/50, Train Loss: 0.0346, Val F1: 0.1096
Epoch 18/50, Train Loss: 0.0344, Val F1: 0.0892
Epoch 19/50, Train Loss: 0.0340, Val F1: 0.1153
Epoch 20/50, Train Loss: 0.0337, Val F1: 0.1296
Epoch 21/50, Train Loss: 0.0331, Val F1: 0.1145
Epoch 22/50, Train Loss: 0.0328, Val F1: 0.1349
Epoch 23/50, Train Loss: 0.0323, Val F1: 0.1334
Epoch 24/50, Train Loss: 0.0323, Val F1: 0.1418
Epoch 25/50, Train Loss: 0.0319, Val F1: 0.1242
Epoch 26/50, Train Loss: 0.0318, Val F1: 0.1277
Epoch 27/50, Train Loss: 0.0315, Val F1: 0.1372
Epoch 28/50, Train Loss: 0.0311, Val F1: 0.1351
Epoch 29/50, Train Loss: 0.0309, Val F1: 0.1389
Epoch 30/50, Train Loss: 0.0310, Val F1: 0.1348
Epoch 31/50, Train Loss: 0.0304, Val F1: 0.1497
Epoch 32/50, Train Loss: 0.0303, Val F1: 0.1391
Epoch 33/50, Train Loss: 0.0299, Val F1: 0.1615
Epoch 34/50, Train Loss: 0.0299, Val F1: 0.1664
Epoch 35/50, Train Loss: 0.0296, Val F1: 0.1415
Epoch 36/50, Train Loss: 0.0294, Val F1: 0.1725
Epoch 37/50, Train Loss: 0.0294, Val F1: 0.1505
Epoch 38/50, Train Loss: 0.0291, Val F1: 0.1583
Epoch 39/50, Train Loss: 0.0289, Val F1: 0.1460
Epoch 40/50, Train Loss: 0.0286, Val F1: 0.1608
Epoch 41/50, Train Loss: 0.0286, Val F1: 0.1767
Epoch 42/50, Train Loss: 0.0281, Val F1: 0.1510
Epoch 43/50, Train Loss: 0.0282, Val F1: 0.1870
Epoch 44/50, Train Loss: 0.0279, Val F1: 0.1793
Epoch 45/50, Train Loss: 0.0280, Val F1: 0.1620
Epoch 46/50, Train Loss: 0.0277, Val F1: 0.1856
Epoch 47/50, Train Loss: 0.0277, Val F1: 0.1836
Epoch 48/50, Train Loss: 0.0275, Val F1: 0.1784
Epoch 49/50, Train Loss: 0.0274, Val F1: 0.1828
Epoch 50/50, Train Loss: 0.0270, Val F1: 0.1934
Test F1 Score: 0.1981
